,OriginalPrice,SalePrice,Discount,Ratings,Comments,Media,Brand,QtySold,Favourites,link,SubCat1,SubCat2,SubCat3,Content,LogQtySold,NORPercent
1196,3.5,3.1,11,5.0,1,1,Herbion,6,1,https://shopee.sg/Herbion-Sugar-Free-Cough-Lozenges-Mint-18S-i.195238920.11362291463?sp_atk=f75e6ebc-aac6-4e74-ab18-da97799e963c,Food & Beverages,Snacks & Sweets,Candy,938.0,1.791759469228055,0.16666666666666666
1197,3.5,3.1,11,5.0,1,1,Herbion,6,0,https://shopee.sg/Herbion-Sugar-Free-Cough-Lozenges-Honey-Lemon-18S-i.195238920.9695666337?sp_atk=b0ee96d9-4b6a-4699-8273-82ff83fbb7aa,Food & Beverages,Snacks & Sweets,Candy,967.0,1.791759469228055,0.16666666666666666
1198,16.0,14.4,10,5.0,0,0,LEADERS,12,3,https://shopee.sg/Leaders-Insolution-Amino-Double-Moisture-Mask-5S-i.195238920.8916979290?sp_atk=e6ef2206-8291-493d-9d37-702cbad051de,Beauty & Personal Care,Skincare,Mask,2282.0,2.4849066497880004,0.16666666666666666
1199,8.95,6.7,25,5.0,1,0,VASELINE,14,5,https://shopee.sg/Vaseline-Total-Moisture-Nourishing-Body-Lotion-400Ml-i.195238920.8317227421?sp_atk=3ed25f0b-ae5f-493b-ab92-9b200fdb2967,Beauty & Personal Care,Bath & Body,Body lotion,567.0,2.6390573296152584,0.14285714285714285
1200,19.9,19.9,0,5.0,1,1,Kate Tokyo,6,1,https://shopee.sg/Kate-Tokyo-Fit-Rare-Gel-Pencil-Bk-1-i.195238920.8251028876?sp_atk=55c519b9-f40c-4f58-b94a-d1f1cc4b9026,Beauty & Personal Care,Makeup,Eye,597.0,1.791759469228055,0.16666666666666666
1201,15.9,14.2,11,5.0,0,0,Neutrogena,7,2,https://shopee.sg/Neutrogena-Hydroboost-Cleanser-Water-Gel-145Ml-i.195238920.7479746262?sp_atk=1f1b9bfc-1f77-4709-b2a6-1eef707363b9,Beauty & Personal Care,Skincare,Cleanser,1242.0,1.9459101490553132,0.14285714285714285
1202,19.9,19.9,0,5.0,1,1,Kate Tokyo,4,1,https://shopee.sg/Kate-Tokyo-Fit-Rare-Gel-Pencil-Br-2-1S-i.195238920.11162226177?sp_atk=1a75bfe4-55b4-4b2b-9feb-7767df02f43c,Beauty & Personal Care,Makeup,Eye,972.0,1.3862943611198906,0.25
1203,2.9,2.5,14,5.0,0,0,Naturals by Watsons,9,3,https://shopee.sg/NATURALS-BY-WATSONS-Chamomile-Hand-and-Nail-Cream-30ml-i.195238920.10200516951?sp_atk=4adb7040-f2d7-4e20-98ec-fad39bcff4b9,Beauty & Personal Care,Bath & Body,Hand Care,1231.0,2.1972245773362196,0.1111111111111111
1204,19.9,15.8,21,5.0,0,0,Browlash,15,2,https://shopee.sg/Browlash-Water-Strong-W-Eyebrow-(Pencil-X-Liquid)-Greyish-Brown-1S-i.195238920.9517227533?sp_atk=d9d1da7a-5919-468e-a190-a4e16085a194,Beauty & Personal Care,Makeup,Eye,1345.0,2.70805020110221,0.06666666666666667
1205,14.9,14.9,0,5.0,0,0,Bigen,5,0,https://shopee.sg/Bigen-Speedy-882-B-Black-i.195238920.6218637409?sp_atk=44c643e2-e2ba-403a-ae32-401b74012681,Beauty & Personal Care,Women's Hair Care,Hair Color,296.0,1.6094379124341003,0.2
1206,55.0,49.5,10,5.0,0,0,Swisse,7,2,https://shopee.sg/SWISSE-Ultiboost-Odourless-High-Strength-Wild-Fish-Oil-1500mg-200-Capsules-i.195238920.6118637460?sp_atk=661ee1ea-4db3-4248-9261-3f046f51f553,Health & Wellness,Supplements,Multivitamin & Minerals,2388.0,1.9459101490553132,0.14285714285714285
